Date,Day of Week,Description,Credit,Debit,Balance
14-09-2024,Saturday,Gas,0,1250,239021
15-09-2024,Sunday,Swiggy,0,650,238371
16-09-2024,Monday,Hospital,0,2500,235871
17-09-2024,Tuesday,Fuel,0,1500,234371
18-09-2024,Wednesday,Zomato,0,850,233521
19-09-2024,Thursday,Groceries,0,1400,232121
20-09-2024,Friday,Travel,0,1000,231121
21-09-2024,Saturday,Swiggy,0,720,230401
22-09-2024,Sunday,Medical,0,1000,229401
23-09-2024,Monday,Zomato,0,810,228591
24-09-2024,Tuesday,Groceries,0,1200,227391
25-09-2024,Wednesday,Swiggy,0,680,226711
26-09-2024,Thursday,Zomato,0,700,226011
28-09-2024,Saturday,Groceries,0,900,225111
29-09-2024,Sunday,Swiggy,0,550,224561
30-09-2024,Monday,Closing,0,0,224561
1/10/2024,Tuesday,Salary,75000,0,299561
2/10/2024,Wednesday,Groceries,0,1400,298161
3/10/2024,Thursday,Swiggy,0,750,297411
4/10/2024,Friday,Zomato,0,800,296611
5/10/2024,Saturday,Rent,0,20000,276611
6/10/2024,Sunday,Electricity,0,3100,273511
7/10/2024,Monday,Groceries,0,1500,272011
8/10/2024,Tuesday,Water,0,850,271161
9/10/2024,Wednesday,Swiggy,0,700,270461
10/10/2024,Thursday,Shopping,0,1500,268961
11/10/2024,Friday,Zomato,0,950,268011
12/10/2024,Saturday,Internet,0,1300,266711
13-10-2024,Sunday,Groceries,0,1350,265361
14-10-2024,Monday,Gas,0,1250,264111
15-10-2024,Tuesday,Swiggy,0,650,263461
16-10-2024,Wednesday,Hospital,0,2500,260961
17-10-2024,Thursday,Fuel,0,1500,259461
18-10-2024,Friday,Zomato,0,850,258611
19-10-2024,Saturday,Groceries,0,1400,257211
20-10-2024,Sunday,Travel,0,1000,256211
21-10-2024,Monday,Swiggy,0,720,255491
22-10-2024,Tuesday,Medical,0,1000,254491
23-10-2024,Wednesday,Zomato,0,810,253681
24-10-2024,Thursday,Groceries,0,1200,252481
25-10-2024,Friday,Swiggy,0,680,251801
26-10-2024,Saturday,Zomato,0,700,251101
28-10-2024,Monday,Groceries,0,900,250201
29-10-2024,Tuesday,Swiggy,0,550,249651
31-10-2024,Thursday,Closing,0,0,249651
1/11/2024,Friday,Opening,0,0,249651
1/11/2024,Friday,Salary,75000,0,324651
2/11/2024,Saturday,Groceries,0,1400,323251
3/11/2024,Sunday,Swiggy,0,750,322501
4/11/2024,Monday,Zomato,0,800,321701
5/11/2024,Tuesday,Rent,0,20000,301701
6/11/2024,Wednesday,Electricity,0,3100,298601
7/11/2024,Thursday,Groceries,0,1500,297101
8/11/2024,Friday,Water,0,850,296251
9/11/2024,Saturday,Swiggy,0,700,295551
10/11/2024,Sunday,Shopping,0,1500,294051
11/11/2024,Monday,Zomato,0,950,293101
12/11/2024,Tuesday,Internet,0,1300,291801
13-11-2024,Wednesday,Groceries,0,1350,290451
14-11-2024,Thursday,Gas,0,1250,289201
15-11-2024,Friday,Swiggy,0,650,288551
16-11-2024,Saturday,Hospital,0,2500,286051
17-11-2024,Sunday,Fuel,0,1500,284551
18-11-2024,Monday,Zomato,0,850,283701
19-11-2024,Tuesday,Groceries,0,1400,282301
20-11-2024,Wednesday,Travel,0,1000,281301
21-11-2024,Thursday,Swiggy,0,720,280581
22-11-2024,Friday,Medical,0,1000,279581
23-11-2024,Saturday,Zomato,0,810,278771
24-11-2024,Sunday,Groceries,0,1200,277571
25-11-2024,Monday,Swiggy,0,680,276891
26-11-2024,Tuesday,Zomato,0,700,276191
28-11-2024,Thursday,Groceries,0,900,275291
29-11-2024,Friday,Swiggy,0,550,274741
30-11-2024,Saturday,Closing,0,0,274741
1/12/2024,Sunday,Opening,0,0,274741
1/12/2024,Sunday,Salary,75000,0,349741
2/12/2024,Monday,Groceries,0,1400,348341
3/12/2024,Tuesday,Swiggy,0,750,347591
4/12/2024,Wednesday,Zomato,0,800,346791
5/12/2024,Thursday,Rent,0,20000,326791
6/12/2024,Friday,Electricity,0,3100,323691
7/12/2024,Saturday,Groceries,0,1500,322191
8/12/2024,Sunday,Water,0,850,321341
9/12/2024,Monday,Swiggy,0,700,320641
10/12/2024,Tuesday,Shopping,0,1500,319141
11/12/2024,Wednesday,Zomato,0,950,318191
12/12/2024,Thursday,Internet,0,1300,316891
13-12-2024,Friday,Groceries,0,1350,315541
14-12-2024,Saturday,Gas,0,1250,314291
15-12-2024,Sunday,Swiggy,0,650,313641
16-12-2024,Monday,Hospital,0,2500,311141
17-12-2024,Tuesday,Fuel,0,1500,309641
18-12-2024,Wednesday,Zomato,0,850,308791
19-12-2024,Thursday,Groceries,0,1400,307391
20-12-2024,Friday,Travel,0,1000,306391
21-12-2024,Saturday,Swiggy,0,720,305671
22-12-2024,Sunday,Medical,0,1000,304671
23-12-2024,Monday,Zomato,0,810,303861
24-12-2024,Tuesday,Groceries,0,1200,302661
25-12-2024,Wednesday,Swiggy,0,680,301981
26-12-2024,Thursday,Zomato,0,700,301281
28-12-2024,Saturday,Groceries,0,900,300381
29-12-2024,Sunday,Swiggy,0,550,299831
31-12-2024,Tuesday,Closing,0,0,299831
